,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
10,IT & Data Analyst INTERN,Smollan,Casablanca,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373?position=1&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=%2FkXOVyqM%2BNc0AkzeaO32DA%3D%3D,"excel, python",data analyst
11,Data Engineer Confirmé – Écosystème Microsoft Fabric,MAROC FER,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-maroc-fer-4267073871?position=2&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=R0T39zE%2FxPgKZl1IKnzyLA%3D%3D,"power bi, python, spark, sql",data engineer
12,Data Engineer Spark/Scala Senior (Maroc ) H/F,LINCOLN,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-spark-scala-senior-maroc-h-f-at-lincoln-france-4128099064?position=3&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=IbpQhJInYJEDYBYRQ4MWBg%3D%3D,"bigquery, ci/cd, gcp, git, gitlab, java, kafka, kubernetes, microservices, scrum, spark",data engineer
13,Multi-Platform Systems & Database Engineer,DXC Technology Morocco,Rabat,https://ma.linkedin.com/jobs/view/multi-platform-systems-database-engineer-at-dxc-technology-morocco-4275970753?position=4&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=LFESuhopZny5qiYdAxMQ5A%3D%3D,"azure, bash, ci/cd, docker, linux, microservices, mongodb, nosql, postgresql, python, sql",data engineer
14,Design System Engineer,Stellantis,Casablanca,https://ma.linkedin.com/jobs/view/design-system-engineer-at-stellantis-4261976621?position=5&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=PbHTknnZ6Lj%2FoTBvwdR3%2FA%3D%3D,excel,software engineer
15,Senior Data Engineer,HCLTech,Rabat,https://ma.linkedin.com/jobs/view/senior-data-engineer-at-hcltech-4273201359?position=6&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=S2qWKrhO7BtjCkWlvTzB7w%3D%3D,"azure, c#, ci/cd, machine learning, nosql, power bi, python, spark, sql, terraform",data engineer
16,Data Analyst,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-at-inetum-4259613497?position=7&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=P4q78g%2Bcqea2tcWA%2BH9ziA%3D%3D,agile,data analyst
17,Senior Data Engineer,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-engineer-at-artefact-4104827039?position=8&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=%2BAw3yHMshSQf%2FUJ5aBkNQA%3D%3D,"airflow, aws, beam, bigquery, ci/cd, docker, elasticsearch, gcp, machine learning, microservices, mysql, postgresql, python, spark, sql",data engineer
18,Lead Data Engineer,Stellantis Middle East & Africa,Casablanca,https://ma.linkedin.com/jobs/view/lead-data-engineer-at-stellantis-middle-east-africa-4277392963?position=9&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=ANYY0O8QgGlU%2FoyUw%2BNohg%3D%3D,"agile, azure, data pipeline, etl, java, power bi, python, r, snowflake, spark, sql",data engineer
19,Data Engineer - Databricks,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-databricks-at-lumenalta-4279524853?position=10&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=iI4C0QDm%2FBxPS4%2FraKekuA%3D%3D,"aws, python, sql",data engineer
20,Data engineer -Apache NIFI,Devoteam,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-apache-nifi-at-devoteam-3628571106?position=1&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=paayJvTBhWmprOCOd3OK3A%3D%3D,"agile, aws, azure, bitbucket, etl, gcp, java, kafka, sql",data engineer
21,Network & System Engineer (Permanent),ProductLife Group,Casablanca,https://ma.linkedin.com/jobs/view/network-system-engineer-permanent-at-productlife-group-4267896356?position=2&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=Q4jtE6tirhHIDcjQiBlgcA%3D%3D,linux,software engineer
22,Software Engineer Analyst,AXONE,Rabat,https://ma.linkedin.com/jobs/view/software-engineer-analyst-at-axone-4277595087?position=3&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=uGfnb9x7FVstcklfXHNeiA%3D%3D,,data analyst
23,Data Analyst - X Delivery,Boston Consulting Group (BCG),Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-x-delivery-at-boston-consulting-group-bcg-4205214414?position=4&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=g%2FHFuLEErdZvwdtCHj0bqQ%3D%3D,"angular, c#, dash, django, excel, flask, github, hadoop, mysql, pandas, postgresql, python, r, react, spark, sql, tableau",data analyst
24,Data Engineer Sénior,ALTEN,Rabat,https://ma.linkedin.com/jobs/view/data-engineer-s%C3%A9nior-at-alten-4279290193?position=5&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=0fVfBflSZOW3xJyGvZ4Wsg%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum",data engineer
25,Cloud Data Engineer SQL GCP,Devoteam,Beni Mellal,https://ma.linkedin.com/jobs/view/cloud-data-engineer-sql-gcp-at-devoteam-4231964131?position=6&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=UiS46ini%2BhvYbIc2YZ4EMA%3D%3D,"airflow, aws, azure, bigquery, ci/cd, dbt, gcp, snowflake, sql",data engineer
