,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
65,Senior Data Consultant - Casablanca,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-consultant-casablanca-at-artefact-4280435316?position=6&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=lCJCOfZXZa24XyIPO4XaCg%3D%3D,,autre
66,Data Analytics - Senior Data Scientist - Casablanca,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/data-analytics-senior-data-scientist-casablanca-at-infomineo-4268568182?position=7&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=lzDykiHv1y1%2FiamLjeM%2Buw%3D%3D,"aws, azure, docker, etl, google cloud, hadoop, ibm cloud, javascript, kubernetes, looker, machine learning, mongodb, nosql, power bi, python, r, snowflake, spark, sql, tableau",data scientist
67,Javascript Senior Software Engineer (AI Apps),Tether.io,Maroc,https://ma.linkedin.com/jobs/view/javascript-senior-software-engineer-ai-apps-at-tether-io-4275576977?position=8&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=AW7iXahs8pWJ%2BSyL%2FI%2BMeA%3D%3D,"javascript, react",software engineer
68,Senior C# Software Engineer,Société Générale,Casablanca,https://ma.linkedin.com/jobs/view/senior-c%23-software-engineer-at-societe-generale-4254760575?position=9&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=i3QmNAqXycbFDtaRaxHXYw%3D%3D,"c#, jenkins, python, react, sql, typescript",software engineer
69,Data Scientist Lead,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/data-scientist-lead-at-infomineo-4277313292?position=10&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=mzAmUW52HgQu2LL5GL%2Bf%2FA%3D%3D,"aws, azure, docker, etl, google cloud, hadoop, ibm cloud, javascript, kafka, kubernetes, looker, machine learning, mongodb, nosql, power bi, python, r, snowflake, spark, sql, tableau",data scientist
70,Senior MLops Engineer,Yassir,Casablanca,https://ma.linkedin.com/jobs/view/senior-mlops-engineer-at-yassir-4253432701?position=1&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=hErt5HP0esB2gWbar3rkzA%3D%3D,"aws, azure, docker, gcp, git, keras, kubernetes, machine learning, microservices, pytorch, scikit-learn",autre
71,Power BI Business Intelligence Analyst,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/power-bi-business-intelligence-analyst-at-alten-maroc-4267482260?position=2&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=vj2fwPAIn60BZntOW01rAQ%3D%3D,"azure, power bi, sql",data analyst
72,Cloud Priority Support Engineer - Spanish,Acronis,Maroc,https://ma.linkedin.com/jobs/view/cloud-priority-support-engineer-spanish-at-acronis-4239722975?position=3&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=mGjcA%2F7ljdlXh1ZkOwsNfQ%3D%3D,"excel, linux, mysql, oracle, sql",autre
73,AI / ML - Software Development Manager,Oracle,Casablanca,https://ma.linkedin.com/jobs/view/ai-ml-software-development-manager-at-oracle-4234199113?position=4&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=b3xq6dnxBi1QN6pXFtu9ew%3D%3D,"java, machine learning, oracle, python",autre
74,Senior Software QA Engineer,APM Terminals,Tanger,https://ma.linkedin.com/jobs/view/senior-software-qa-engineer-at-apm-terminals-4277537186?position=5&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=DJUoC2mz4zM8AIEiDHXUlA%3D%3D,"agile, airflow, azure, ci/cd, github, java, javascript, jenkins, kafka, microservices, nosql, sql",software engineer
75,Analyste Fonctionnel (Support N3),ALTEN,Rabat,https://ma.linkedin.com/jobs/view/analyste-fonctionnel-support-n3-at-alten-4265017072?position=6&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=G1arIN0dbY3dk4%2Bdo1VP5A%3D%3D,"excel, r, sql",data analyst
76,Requirements Engineer - System Functions (German-Speaking),AVL,Rabat,https://ma.linkedin.com/jobs/view/requirements-engineer-system-functions-german-speaking-at-avl-4280317622?position=7&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=lqpu%2FBjhMGklc7UJBGUK7A%3D%3D,scrum,software engineer
77,Solutions Architect - Azure,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/solutions-architect-azure-at-lumenalta-4279554838?position=8&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=Sywg4P79IHLdaDSWN6999Q%3D%3D,"azure, ci/cd, github, jenkins, kubernetes, linux, sql, terraform",autre
78,Quality System Engineer,TE Connectivity,Maroc,https://ma.linkedin.com/jobs/view/quality-system-engineer-at-te-connectivity-4206887609?position=9&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=3etILrKlUmcfUeuxra6U8g%3D%3D,,software engineer
79,Quality System Engineer,TE Connectivity,Tanger,https://ma.linkedin.com/jobs/view/quality-system-engineer-at-te-connectivity-4208212717?position=10&pageNum=17&refId=G4fcHYczlYm5OwVjT6JLog%3D%3D&trackingId=5kFRxHwklxoCUZwifegkPg%3D%3D,,software engineer
80,Business Research - Research Analyst - Casablanca,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-at-infomineo-4281483293?position=1&pageNum=20&refId=7pjs0%2B1hdQnU%2BAPJC8F8AA%3D%3D&trackingId=LfYIlO56iFpa8P6eRC7xiw%3D%3D,,data analyst
81,Business Research - Research Analyst - Casablanca - German Speaker,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-german-speaker-at-infomineo-4271430605?position=2&pageNum=20&refId=7pjs0%2B1hdQnU%2BAPJC8F8AA%3D%3D&trackingId=%2FZZVtESpP3P%2FR0EUaM41kA%3D%3D,,data analyst
82,Business Research - Research Analyst - Casablanca - Spanish and/or Portuguese,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-spanish-and-or-portuguese-at-infomineo-4271433538?position=3&pageNum=20&refId=7pjs0%2B1hdQnU%2BAPJC8F8AA%3D%3D&trackingId=EDmVjFMqVQ9yPi7xarv1Vg%3D%3D,,data analyst
83,Business Research - Research Analyst - Casablanca - Italian speaker,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-italian-speaker-at-infomineo-4271424642?position=4&pageNum=20&refId=7pjs0%2B1hdQnU%2BAPJC8F8AA%3D%3D&trackingId=1wkFP0J23Yh97bdH57cfCg%3D%3D,,data analyst
84,Customer Service Representative,Gentherm,Tanger,https://ma.linkedin.com/jobs/view/customer-service-representative-at-gentherm-4261085007?position=5&pageNum=20&refId=7pjs0%2B1hdQnU%2BAPJC8F8AA%3D%3D&trackingId=tO8ILXTgKTrOLOlEp5DXzg%3D%3D,,autre
85,Data Analyst,Attijariwafa bank,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-at-attijariwafa-bank-4181774821?position=1&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=lQcVPTvh2qfXVPeQGPaEow%3D%3D,"power bi, python, sql, tableau",data analyst
86,Data Analyst,BNP Paribas,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-at-bnp-paribas-4277210022?position=2&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=Cai3iFVdJ7R1Q5UyjBw7bA%3D%3D,agile,data analyst
87,IT & Data Analyst INTERN,Smollan,Casablanca,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373?position=3&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=MeRFzjM3eAkpBftT6Im0JA%3D%3D,"excel, python",data analyst
88,Data Analyst,MAROC FER,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-at-maroc-fer-4259485132?position=4&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=97ddd3CXeBX6027DikZchw%3D%3D,agile,data analyst
89,Data Analyst,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-at-inetum-4259613497?position=5&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=V3Sz4kpEowOK%2F4jsKd%2BMYw%3D%3D,agile,data analyst
90,Junior Data Consultant - Casablanca,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/junior-data-consultant-casablanca-at-artefact-3928980969?position=6&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=%2Bm2ynkXoDdeOl4eo%2BsowFA%3D%3D,,autre
91,Data Analyst,Expleo Group,Tanger,https://ma.linkedin.com/jobs/view/data-analyst-at-expleo-group-4244912212?position=7&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=MwIYQNUWBSfMUs3XabkrHg%3D%3D,,data analyst
92,Data Analyst - Casablanca,VIVADATA,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-casablanca-at-vivadata-4263834506?position=8&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=FDlGhHObMnvGj%2Bm53WCMfg%3D%3D,"agile, airflow, aws, azure, etl, flask, google cloud, machine learning, python, r, sql, tableau",data analyst
93,Lead Data Analyst,Saham Bank (Officiel),Casablanca,https://ma.linkedin.com/jobs/view/lead-data-analyst-at-saham-bank-officiel-4273862478?position=9&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=ac6%2F%2FNNTN%2BJuKkeSzWU7lw%3D%3D,"dbt, git, power bi, python, r, sql",data analyst
94,Data Analyst Intern - X Delivery,Boston Consulting Group (BCG),Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-intern-x-delivery-at-boston-consulting-group-bcg-4205211831?position=10&pageNum=0&refId=Ot8NJ11jtyOzdEmtR3g7hg%3D%3D&trackingId=DmXg3mRhfRoFQsSr%2FhMLmw%3D%3D,"angular, c#, dash, django, excel, flask, github, hadoop, mysql, pandas, postgresql, python, r, react, spark, sql, tableau",data analyst
95,Data Miner / Vigie,EOL,Casablanca,https://ma.linkedin.com/jobs/view/data-miner-vigie-at-eol-4281494642?position=1&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=uK5j8FXDWLYQNWCNuVDGfw%3D%3D,"excel, power bi, tableau",autre
96,Expert Data analyst,BROME Consulting & Technology,Casablanca,https://ma.linkedin.com/jobs/view/expert-data-analyst-at-brome-consulting-technology-4200182778?position=2&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=ag9yKYyBq8qpqSDxFCzOsA%3D%3D,"matplotlib, power bi, seaborn, tableau",data analyst
97,Data Analyst senior (expert GCP et Power BI) - F/H,ALTEN,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-f-h-at-alten-4257247964?position=3&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=az1qC%2BGrlXREzT1X%2BD1KxQ%3D%3D,"agile, bigquery, gcp, google cloud, power bi, scrum, sql",data analyst
98,Consultant données/Consultante données,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/consultant-donn%C3%A9es-consultante-donn%C3%A9es-at-alten-maroc-4280135537?position=4&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=ZSlmFmQLY66ntcNUY6lgfA%3D%3D,"ci/cd, data pipeline, gcp, gitlab, google cloud, kubernetes, postgresql, python, scrum, terraform",autre
99,Data Engineer (H/F),Smile,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-smile-4275097062?position=5&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=jhzyCIBRp00cpizw%2FhVWQQ%3D%3D,"airflow, python, snowflake, sql",data engineer
100,Ingénieur DATA,SII Group Morocco,Rabat,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-data-at-sii-group-morocco-4271712313?position=6&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=sLzKUcSPDDq0xPoMBnhTEw%3D%3D,"airflow, aws, azure, gcp, kafka, python, spark",data engineer
101,CX Insights Analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/cx-insights-analyst-at-arrow-electronics-4274928991?position=7&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=H%2BBOp%2FtUVJL8WONMO84yNw%3D%3D,excel,data analyst
102,DATA ENGINEER (H/F),Groupe INTM,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-groupe-intm-4265986589?position=8&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=zluIqDVmLyrvCjzXYPuc2w%3D%3D,"docker, gcp, kafka, kubernetes, looker, python, spark, sql, terraform",data engineer
103,DATA DESIGN & DEVELOPMENT ENGINEER (BI/ML/DS),RIBATIS,Casablanca,https://ma.linkedin.com/jobs/view/data-design-development-engineer-bi-ml-ds-at-ribatis-4268220000?position=9&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=NpLCWDdP9jhNW%2F14mHwZbw%3D%3D,"deep learning, etl, machine learning",data engineer
104,Quantitative Risk Analyst / Data Analyst,CIH BANK,Casablanca,https://ma.linkedin.com/jobs/view/quantitative-risk-analyst-data-analyst-at-cih-bank-3980071335?position=10&pageNum=2&refId=DvV31fqbYGxhoosKOKSd6Q%3D%3D&trackingId=J3L9mDTiU2gtXcEKiWqnVg%3D%3D,,data analyst
105,CX Insights Analyst,Arrow Components,Casablanca,https://ma.linkedin.com/jobs/view/cx-insights-analyst-at-arrow-components-4280937195?position=1&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=r8ZdVyAg2DX4Fcvx67yTDg%3D%3D,excel,data analyst
106,Business Analyst Data – Spécialisation Finance,MAROC FER,Casablanca,https://ma.linkedin.com/jobs/view/business-analyst-data-%E2%80%93-sp%C3%A9cialisation-finance-at-maroc-fer-4263264885?position=2&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=Vd6hAGhAIiRW7Vb5o3XuOA%3D%3D,"azure, power bi",data analyst
107,Consulting Data Manager Maroc,VIVADATA,Casablanca,https://ma.linkedin.com/jobs/view/consulting-data-manager-maroc-at-vivadata-4278834619?position=3&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=jO2ktM%2FflOKFpARgurlsbg%3D%3D,agile,autre
108,Consulting Data Manager,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/consulting-data-manager-at-artefact-3776223432?position=4&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=pHnJbmd5txPOPCioFcQjWw%3D%3D,agile,autre
109,Data Engineering Intern - X Delivery,Boston Consulting Group (BCG),Casablanca,https://ma.linkedin.com/jobs/view/data-engineering-intern-x-delivery-at-boston-consulting-group-bcg-4205213767?position=5&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=N6ei%2FULkRZeRbbh1AnAD5A%3D%3D,"airflow, aws, azure, ci/cd, data pipeline, django, docker, etl, fastapi, flask, git, google cloud, hadoop, jenkins, kafka, kubernetes, mongodb, nosql, python, redis, spark, sql, terraform",data engineer
110,Associate Analyst,Altus Group,Casablanca,https://ma.linkedin.com/jobs/view/associate-analyst-at-altus-group-4280333670?position=6&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=5NzPby4FA7cKAeK6xy%2BnXw%3D%3D,excel,data analyst
111,Quant Analyst / Quant Developer / Data Scientist: Graduate Programme 2025,Phi Partners,Casablanca,https://ma.linkedin.com/jobs/view/quant-analyst-quant-developer-data-scientist-graduate-programme-2025-at-phi-partners-4180620268?position=7&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=tSVPuzKCa%2FR7AawABLGTiA%3D%3D,"design patterns, python, sql",data scientist
112,Business Analyst Data – Spécialisation Finance,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/business-analyst-data-%E2%80%93-sp%C3%A9cialisation-finance-at-inetum-4263463148?position=8&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=9tlLPaneMXl9Z4wQCTu23g%3D%3D,"azure, power bi",data analyst
113,Data Engineer GCP F/H,VISEO,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-gcp-f-h-at-viseo-4133242965?position=9&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=bHgktg61gSINIdzMsNbPgA%3D%3D,"airflow, beam, etl, gcp, google cloud, java, python, spark, sql",data engineer
114,Data Engineer Confirmé – Écosystème Microsoft Fabric,MAROC FER,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-maroc-fer-4267073871?position=10&pageNum=5&refId=FdDz0XL1iWVheVGQSU3ITw%3D%3D&trackingId=iiBzJkWUNo4oLUJSLgb0%2BQ%3D%3D,"power bi, python, spark, sql",data engineer
115,AI Engineer - Africa,The Flex,Casablanca,https://ma.linkedin.com/jobs/view/ai-engineer-africa-at-the-flex-4280197380?position=1&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=1L4cq%2BC7HfNKJqdIyutXTQ%3D%3D,"aws, machine learning",autre
116,Data Engineer Spark/Scala Senior (Maroc ) H/F,LINCOLN,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-spark-scala-senior-maroc-h-f-at-lincoln-france-4128099064?position=2&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=YulpXbx9Lmi14y22JQH2Mw%3D%3D,"bigquery, ci/cd, gcp, git, gitlab, java, kafka, kubernetes, microservices, scrum, spark",data engineer
117,ERP Analyst,Fruitist,Maroc,https://ma.linkedin.com/jobs/view/erp-analyst-at-fruitist-4281966212?position=3&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=RHO9NXkeCsms4HgVTTz0WQ%3D%3D,,data analyst
118,Data Engineer - Databricks,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-databricks-at-lumenalta-4279524853?position=4&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=IDv0JMisUSNsLrNzrQmp4w%3D%3D,"aws, python, sql",data engineer
119,Coders - AI Training [Remote],Braintrust,Maroc,https://ma.linkedin.com/jobs/view/coders-ai-training-remote-at-braintrust-4201817124?position=5&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=pG8Em401515Kq%2FcA95nd6A%3D%3D,"c++, generative ai, html, java, javascript, php, python, r, sql, typescript",autre
120,Manager Data Engineer,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/manager-data-engineer-at-artefact-3928980952?position=6&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=GoS4S28vhDzwqv15IbZIBQ%3D%3D,"agile, airflow, aws, azure, beam, bigquery, ci/cd, docker, elasticsearch, gcp, google cloud, kubernetes, machine learning, microservices, mysql, postgresql, python, redis, spark, sql",data engineer
121,IT BUSINESS ANALYST (CONSULTANT FONCTIONNEL IT),RIBATIS,Casablanca,https://ma.linkedin.com/jobs/view/it-business-analyst-consultant-fonctionnel-it-at-ribatis-4268217580?position=7&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=BbrUg7qE9C8uhyXIhn%2BTYw%3D%3D,,data analyst
122,Power BI Engineer,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/power-bi-engineer-at-alten-maroc-4279809510?position=8&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=xXWqSnpL53abzN5LewzqYQ%3D%3D,"etl, excel, power bi",autre
123,Consultant Confirmé(e) / Senior,FORMIND AME,Casablanca,https://ma.linkedin.com/jobs/view/consultant-confirm%C3%A9-e-senior-at-formind-ame-4281652007?position=9&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=MOKq5pnfSuXZiZpr0eolPw%3D%3D,excel,autre
124,Tech Lead Data Engineer (expert GCP),LINCOLN,Casablanca,https://ma.linkedin.com/jobs/view/tech-lead-data-engineer-expert-gcp-at-lincoln-france-4043972694?position=10&pageNum=7&refId=qwLdeEZIMEV9HShuQMyRAA%3D%3D&trackingId=dptubQ6gXfvPmV1NwJOXDA%3D%3D,"agile, bigquery, ci/cd, dbt, etl, gcp, git, gitlab, linux, scrum, sql",data engineer
125,Qualifieur (H/F),Sofrecom Maroc,Casablanca,https://ma.linkedin.com/jobs/view/qualifieur-h-f-at-sofrecom-maroc-4266734210?position=1&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=CKIdK6JbT%2Fx4A8aQTA5YKA%3D%3D,"agile, angular, ci/cd, java, jenkins, oracle, postgresql, rest api, scrum, sql",autre
126,Quantitative Consultant,Phi Partners,Casablanca,https://ma.linkedin.com/jobs/view/quantitative-consultant-at-phi-partners-4102999041?position=2&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=hBWOKsKWys04QAdaojqBvQ%3D%3D,"c#, c++, python",autre
127,Analyste / Développeur BI,Petit Forestier Group,Casablanca,https://ma.linkedin.com/jobs/view/analyste-d%C3%A9veloppeur-bi-at-petit-forestier-group-4281639871?position=3&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=IUjGuiCqr8QD8hSlidtpFA%3D%3D,"mysql, postgresql, power bi, qlik sense, snowflake, sql",data analyst
128,Data Engineer - Databricks,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-databricks-at-lumenalta-4279525601?position=4&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=5HvnfMsx3PjxOEOwoVDaCg%3D%3D,"aws, etl, python, sql",data engineer
129,Artificial Intelligence Engineer,Talent Performer,Casablanca,https://ma.linkedin.com/jobs/view/artificial-intelligence-engineer-at-talent-performer-4282600660?position=5&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=0UNB1bFDedbJFD6SB9XY2g%3D%3D,agile,autre
130,General Pipeline MO,Mindera,Casablanca,https://ma.linkedin.com/jobs/view/general-pipeline-mo-at-mindera-4264182920?position=6&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=wNFwwGx6s9PwfPQgIneAtw%3D%3D,"agile, angular, aws, azure, ci/cd, gcp, java, kubernetes, node.js, react, scrum, vue.js",autre
131,Data Engineer Confirmé,ALTEN,Rabat,https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-at-alten-4272020123?position=7&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=XbN56YP%2B6WIQ34nfOpIl0Q%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum",data engineer
132,Senior Data Consultant - Casablanca,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-consultant-casablanca-at-artefact-4280435316?position=8&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=NyjBM1i1TsK9h7WetHH81Q%3D%3D,,autre
133,Business Research - Research Analyst - Casablanca - Spanish and/or Portuguese,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-spanish-and-or-portuguese-at-infomineo-4271433538?position=9&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=QivEesKiZot5EHAruNzzUQ%3D%3D,,data analyst
134,Business Research - Research Analyst - Casablanca - Italian speaker,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/business-research-research-analyst-casablanca-italian-speaker-at-infomineo-4271424642?position=10&pageNum=10&refId=X%2Fb1jm%2FIvqbGAIrBMn9gpg%3D%3D&trackingId=5NXlj3tJAML%2B4SjBKfVd3Q%3D%3D,,data analyst
135,Senior Power BI Developer,HCLTech,Rabat,https://ma.linkedin.com/jobs/view/senior-power-bi-developer-at-hcltech-4273200522?position=1&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=v9oW2Z2RGm%2FCJ5IEyrIs6A%3D%3D,"agile, azure, power bi, sql",data analyst
136,Technicien Développement IT,Sumitomo Electric,Ain Harrouda,https://ma.linkedin.com/jobs/view/technicien-d%C3%A9veloppement-it-at-sumitomo-electric-3962255756?position=2&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=bB4r5XIteF%2FVGPX5USs4zQ%3D%3D,"angular, c#, grpc, javascript, mysql, postgresql, python, react, sql",autre
137,Expert Salesforce,SEGULA Technologies,Casablanca,https://ma.linkedin.com/jobs/view/expert-salesforce-at-segula-technologies-4028606793?position=3&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=E8lSGiEErXugi05nvJG7gA%3D%3D,,autre
138,Cloud Support Engineer,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/cloud-support-engineer-at-arrow-electronics-4274938025?position=4&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=1Abrppr%2BFFXiZJWljm7BDQ%3D%3D,"azure, linux",autre
139,Expert Azure Cloud MS FABRIC,AXONE,Casablanca,https://ma.linkedin.com/jobs/view/expert-azure-cloud-ms-fabric-at-axone-4273239234?position=5&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=Zhly9ZsDwPPJ8HHPWJYvhA%3D%3D,azure,autre
140,Process Programmer,Aptiv,Tanger,https://ma.linkedin.com/jobs/view/process-programmer-at-aptiv-4194774785?position=6&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=hQR0YwH4P4Dt8Zfd2JVeTQ%3D%3D,,autre
141,Data Scientist Lead,Infomineo,Casablanca,https://ma.linkedin.com/jobs/view/data-scientist-lead-at-infomineo-4277313292?position=7&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=qSwK5urrldiey4xgJLlBug%3D%3D,"aws, azure, docker, etl, google cloud, hadoop, ibm cloud, javascript, kafka, kubernetes, looker, machine learning, mongodb, nosql, power bi, python, r, snowflake, spark, sql, tableau",data scientist
142,Data Engineer Confirmé – Écosystème Microsoft Fabric,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-inetum-4267244628?position=8&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=xL5lWBZmR0ONPNDe5PTO9A%3D%3D,"power bi, python, spark, sql",data engineer
143,IT Field Operations Engineer,TLScontact,Casablanca,https://ma.linkedin.com/jobs/view/it-field-operations-engineer-at-tlscontact-4282621178?position=9&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=lvZbfHahJLY9z%2BwvBi%2BIQQ%3D%3D,"bash, linux",autre
