,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
0,dataanalystCDD,AXA Services Maroc,Rabat,https://www.rekrute.com/offre-emploi-data-analyst-cdd-recrutement-axa-services-maroc-rabat-173841.html,"python, r, sql",data analyst
1,Stagiaire Businessanalyst(H/F),Groupe Label'Vie - Carrefour,Casablanca,https://www.rekrute.com/offre-emploi-stagiaire-business-analyst-hf-recrutement-groupe-labelvie---carrefour-casablanca-174264.html,excel,data analyst
2,Businessanalystdata– Spécialisation Finance,Inetum,Casablanca,https://www.rekrute.com/offre-emploi-business-analyst-data-specialisation-finance-recrutement-inetum-casablanca-173100.html,"azure, power bi",data analyst
3,Businessanalyst,Groupe Label'Vie - Carrefour,Casablanca,https://www.rekrute.com/offre-emploi-business-analyst-recrutement-groupe-labelvie---carrefour-casablanca-172907.html,,data analyst
4,Stagiairedataanalyst/ Engineer,Orange Business,Rabat,https://www.rekrute.com/offre-emploi-stagiaire-data-analyst-engineer-recrutement-orange-business-rabat-174186.html,"deep learning, docker, excel, git, hadoop, keras, pandas, power bi, python, spark, sql, tensorflow",data analyst
5,analyste Investisseurs & Marketdata,Bourse de Casablanca,Casablanca,https://www.rekrute.com/offre-emploi-analyste-investisseurs-market-data-recrutement-bourse-de-casablanca-casablanca-173379.html,,data analyst
6,Accountantanalyst(CDD),AXA GBS Morocco,Rabat,https://www.rekrute.com/offre-emploi-accountant-analyst-cdd-recrutement-axa-gbs-morocco-rabat-173277.html,"excel, power bi",data analyst
7,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r",autre
8,dataanalyst,FMPS  - Fondation Marocaine du Préscolaire,Rabat,https://www.rekrute.com/offre-emploi-data-analyst-recrutement-fmps---fondation-marocaine-du-prescolaire-rabat-173068.html,,data analyst
9,Dév pythondataanalyst/ Scientist,BTechnologie,Rabat,https://www.rekrute.com/offre-emploi-dev-python-data-analyst-scientist-recrutement-btechnologie-rabat-173025.html,"agile, git, power bi, python, sql",data scientist
10,OTCanalyst,HCLTech,Rabat,https://www.rekrute.com/offre-emploi-otc-analyst-recrutement-hcltech-rabat-rabat-sale-kenitra-morocco-172727.html,spark,data analyst
11,Product Marketinganalyst(H-F),Sorec,Rabat,https://www.rekrute.com/offre-emploi-product-marketing-analyst-h-f-recrutement-sorec-rabat-172536.html,,data analyst
12,Researchscientistin Digital Twins - Operational Technology,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-research-scientist-in-digital-twins---operational-technology-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-174257.html,"aws, azure, google cloud, machine learning",autre
13,dataEngineer KPI BOOK,ALTEN Maroc,Fès,https://www.rekrute.com/offre-emploi-data-engineer-kpi-book-recrutement-alten-maroc-fes-174091.html,"excel, javascript, mongodb, python, react",data engineer
14,datascientist(H/F),Sofrecom Maroc,Rabat,https://www.rekrute.com/offre-emploi-data-scientist-hf-recrutement-sofrecom-maroc-rabat-173796.html,"machine learning, nosql, power bi, python, r, scikit-learn, sql, tableau, tensorflow",data scientist
