Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
rekrute,data engineer,dataengineerKPI BOOK,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-engineer-kpi-book-recrutement-alten-maroc-fes-174091.html,"excel, javascript, mongodb, python, react"
rekrute,data engineer,dataengineer,Orange Business,Rabat (Maroc),/offre-emploi-data-engineer-recrutement-orange-business-rabat-174007.html,
rekrute,data engineer,Géologue Spécialiste en Géologie Structurale,Aya Gold & Silver,Taliouine (Maroc),/offre-emploi-geologue-specialiste-en-geologie-structurale-recrutement-aya-gold-silver-taliouine-173830.html,
rekrute,data engineer,Project Management Business Partner,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-project-management-business-partner-recrutement-capgemini-engineering-casablanca-173806.html,power bi
rekrute,data engineer,Senior Business Intelligence Consultant / BI Lead,Leyton,Casablanca (Maroc),/offre-emploi-senior-business-intelligence-consultant-bi-lead-recrutement-leyton-casablanca-173535.html,"agile, excel, power bi, python, r, sql, tableau"
rekrute,data engineer,Research Scientist in Complex Systems,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-complex-systems-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173768.html,python
rekrute,data engineer,Research Scientist indataScience & Machine Learning,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-data-science-machine-learning-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173769.html,"deep learning, machine learning, pandas, pytorch, scikit-learn, spark, tensorflow"
rekrute,data engineer,Research Scientist in Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python"
rekrute,data engineer,Researchengineerin Industrial Systems and Smart Logistics,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-industrial-systems-and-smart-logistics-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173766.html,"python, r, sql"
rekrute,data engineer,Researchengineerin Sustainability Systems and Health-Environment Modeling,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-sustainability-systems-and-health-environment-modeling-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173764.html,"python, r"
rekrute,data engineer,Business Analyst,Orange Business,Rabat (Maroc),/offre-emploi-business-analyst-recrutement-orange-business-rabat-172475.html,"agile, docker, linux, mongodb, oracle, postgresql, scrum, sql"
rekrute,data engineer,Researchengineerin AI & Remote Sensing,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-ai-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173661.html,"deep learning, pytorch, tensorflow"
rekrute,data engineer,ExpertdataIKU,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-expert-dataiku-recrutement-capgemini-engineering-casablanca-173525.html,"pandas, power bi, python, scikit-learn, sql, tableau"
